iter	Passed	Remaining
818	1550	342
819	1552	340
820	1553	338
821	1554	336
822	1555	334
823	1557	332
824	1558	330
825	1559	328
826	1561	326
827	1562	324
828	1563	322
829	1564	320
830	1565	318
831	1566	316
832	1568	314
833	1569	312
834	1571	310
835	1573	308
836	1574	306
837	1575	304
838	1577	302
839	1578	300
840	1579	298
841	1580	296
842	1581	294
843	1582	292
844	1583	290
845	1585	288
846	1586	286
847	1588	284
848	1589	282
849	1590	280
850	1591	278
851	1592	276
852	1593	274
853	1594	272
854	1595	270
855	1596	268
856	1598	266
857	1599	264
858	1601	262
859	1602	260
860	1603	258
861	1604	256
862	1605	254
863	1606	252
864	1607	250
865	1608	248
866	1609	246
867	1610	244
868	1611	242
869	1613	241
870	1614	239
871	1616	237
872	1617	235
873	1618	233
874	1619	231
875	1620	229
876	1621	227
877	1622	225
878	1623	223
879	1624	221
880	1625	219
881	1626	217
882	1628	215
883	1630	213
884	1631	212
885	1633	210
886	1634	208
887	1635	206
888	1636	204
889	1638	202
890	1639	200
891	1640	198
892	1642	196
893	1643	194
894	1644	192
895	1646	191
896	1647	189
897	1648	187
898	1649	185
899	1650	183
900	1651	181
901	1652	179
902	1653	177
903	1654	175
904	1655	173
905	1656	171
906	1657	169
907	1658	168
908	1660	166
909	1661	164
910	1662	162
911	1664	160
912	1665	158
913	1666	156
914	1667	154
915	1668	152
916	1669	151
917	1670	149
918	1671	147
919	1672	145
920	1673	143
921	1675	141
922	1677	139
923	1678	138
924	1679	136
925	1680	134
926	1681	132
927	1682	130
928	1683	128
929	1685	126
930	1686	124
931	1687	123
932	1688	121
933	1689	119
934	1691	117
935	1692	115
936	1693	113
937	1694	111
938	1695	110
939	1696	108
940	1697	106
941	1699	104
942	1700	102
943	1701	100
944	1702	99
945	1703	97
946	1705	95
947	1706	93
948	1708	91
949	1709	89
950	1710	88
951	1712	86
952	1713	84
953	1714	82
954	1716	80
955	1717	79
956	1719	77
957	1721	75
958	1723	73
959	1725	71
960	1727	70
961	1728	68
962	1730	66
963	1731	64
964	1732	62
965	1733	61
966	1734	59
967	1736	57
968	1737	55
969	1738	53
970	1740	51
971	1741	50
972	1742	48
973	1744	46
974	1745	44
975	1746	42
976	1748	41
977	1750	39
978	1752	37
979	1754	35
980	1755	34
981	1756	32
982	1757	30
983	1758	28
984	1760	26
985	1761	25
986	1762	23
987	1763	21
988	1766	19
989	1768	17
990	1770	16
991	1771	14
992	1772	12
993	1773	10
994	1774	8
995	1776	7
996	1777	5
997	1779	3
998	1781	1
999	1783	0
